id,exchanges,task_run
bitcoin,"['binance', 'ftx_spot', 'ftx_us', 'bitfinex', 'ftx_us', 'coinzoom', 'bitfinex', 'bitfinex', 'b2bx', 'whitebit', 'bitfinex', 'digifinex', 'coinsbit', 'gdax', 'coinzoom', 'coinzoom', 'coinsbit', 'crypto_com', 'b2bx', 'okex', 'huobi', 'wootrade', 'binance', 'binance', 'whitebit', 'ftx_spot', 'kraken', 'zb', 'digifinex', 'coinsbit', 'kraken', 'upbit', 'binance', 'ftx_spot', 'bitcoin_com', 'hitbtc', 'changelly', 'phemex', 'nominex', 'bitstamp', 'gdax', 'bitfinex', 'kucoin', 'bitfinex', 'bitflyer', 'bigone', 'currency', 'bitstamp', 'cryptology', 'b2bx', 'coinsbit', 'bkex', 'huobi_korea', 'ftx_us', 'ftx_us', 'coinsbit', 'aax', 'exrates', 'waves', 'cryptology', 'changelly', 'gdax', 'changelly', 'localtrade', 'coinsbit', 'hitbtc', 'hitbtc', 'binance', 'alterdice', 'bitvavo', 'bybit_spot', 'bitcoin_com', 'hitbtc', 'cryptology', 'localtrade', 'gmo_japan', 'biconomy', 'cryptology', 'bitcoin_com', 'coincheck', 'bitcoin_com', 'delta_spot', 'binance', 'whitebit', 'changelly', 'whitebit', 'coinsbit', 'cointiger', 'digifinex', 'bitmart', 'binance_us', 'binance', 'crypto_com', 'bibox', 'coinsbit', 'okcoin', 'quoine', 'localtrade', 'coinsbit', 'changelly']",1
dogecoin,"['binance', 'okex', 'wootrade', 'huobi', 'gdax', 'whitebit', 'digifinex', 'bitfinex', 'nominex', 'ftx_spot', 'binance', 'zb', 'coinsbit', 'kraken', 'mxc', 'binance', 'aex', 'gate', 'etorox', 'phemex', 'bkex', 'nominex', 'goku', 'kraken', 'aax', 'goku', 'binance_us', 'goku', 'gemini', 'whitebit', 'gdax', 'kucoin', 'bitfinex', 'crypto_com', 'nominex', 'ftx_spot', 'kraken', 'coinex', 'binance_us', 'xt', 'bittrex', 'hotbit', 'hoo', 'bittrex', 'b2bx', 'binance', 'huobi', 'bitforex', 'indodax', 'okex', 'bitmart', 'currency', 'bybit_spot', 'bitfinex', 'poloniex', 'bibox', 'mxc', 'cointiger', 'bitkub', 'bitforex', 'gdax', 'binance', 'biconomy', 'huobi_korea', 'gdax', 'bittrex', 'bitforex', 'lbank', 'crypto_com', 'ftx_us', 'bitvavo', 'bitrue', 'localtrade', 'latoken', 'okex', 'btcturk', 'bittrex', 'zb', 'kucoin', 'ftx_us', 'gate', 'dextrade', 'bitinka', 'exrates', 'virgox', 'gdax', 'poloniex', 'binance', 'btse', 'huobi', 'gemini', 'b2bx', 'binance', 'bitopro', 'bitrue', 'binance', 'crypto_com', 'gemini', 'binance', 'bitinka']",46
